अंडमान	अंडमानी	
अंडरवर्ल्ड	अंडरवर्ल्ड	
अड़                अड़ी		
अध्यक्ष	अध्यक्ष
अनदेखा	अनदेखी
अन्तर्राष्ट्रीय	अंतर्राष्ट्रीय	
अपना	अपनी
अफर	अफरा
अब	अभी
अमरीका	अमरीका	
अर्सा	अर्से
अड़चन           अड़चनें		
अड़ियल	अड़ियल
आँकड़ा	आँकड़ा
आँकड़ा          आँकड़ों		
आंक              आंकी
आंकड़	आंकड़ा
आँख	आंखें
आ	आई
आईजी	आईजी	
आ	आए
आठवाँ            आठवीं		
आ                 आना	
आबजर्वर	आबजर्वर
आर.	आर.
आवश्यक	आवश्यकता
आड़े	आड़ा
इंजीनियर	इंजीनियर्स
इंडस्ट्री	इंडस्ट्रीज
इजाज़त	इजाज़त
इतना	इतने
इन	इन	
इन                इन्हीं		
इसलिए	इसलिए	
इस                 इसी	
उखाड़	उखाड़
उठ	उठा
उड़ीसा	उड़ीसा	
उत्पीड़न	उत्पीड़न
उद्योग	उद्योगों
वह                 उन	
उपयुक्त	उपयुक्त	
उल्टा	उल्टे
उड़	उड़
उड़ान	उड़ान
उड़ा               उड़ाना	
उड़ा               उड़ाने	
उड़ान            उड़ानें		
उड़ान            उड़ानों	
उड़ीसा	उड़ीसा
ऊँचा              ऊंची		
ए.	ए
एक               एकतरफा	
एक               एकमात्र	
एच.	एच	
एन.	एन
एयरलाइंस     एयरलाइंसों		
एयरवे            एयरवेज		
एस	एस
एस.	एस	
एड़ी	एड़ी
ऐसा               ऐसी		
ऐसा	ऐसे
औपचारिकता  औपचारिकताएं		
और	ऒर
कट	कटा
कड़ा              कड़ी	
कपड़ा           कपड़े		
कमरा           कमरों		
कमाई	कमाई
कंपनी	कम्पनी
कर	कर	
कर	करवा	
कर                करवाता	
कर                करवाना	
कर                करवाने
कर                करवाया		
कर                करवाये	
कर	करा
कराची	कराची
कर                कराना	
कर                कराने		
कर                कराया		
करारा	करारी
करोड़            करोड़ों	
कश्मीर	कश्मीर
कह	कहीं
के                  का	
काट	काटो
काला	काली
किमी             किमी	
किये              किया	
किस	कौन
की	की
कुआँ              कुंए	
कृष्‍ण	कृष्ण	
के	के	
कैसा	कैसे
कॉर्डिनल	कॉर्डिनल्स
को	को
क्यू.	क्यू	
कड़ा             कड़ा
कड़ा             कड़ी	
कड़ा             कड़े		
कढ़ाई           कढ़ाई
खरीद	खरीदी
खरा	खरे
खर्च	खर्चा
खा	खाई
खाड़ी	खाड़ी	
खा	खाता
खा                 खाते		
खा                 खाना	
खाना              खाने	
खास              खासी		
खाड़ी	खाड़ी
खिलाड़ी	खिलाड़ी	
खिड़की          खिड़कियों		
खुल	खुलकर
खुल                खुलवाकर	
खुला	खुला
खुला               खुले			
खोज	खोजी
खड़ा	खड़ा
खड़ा	खड़ी
खड़ा               खड़े	
जा                 गया		
गाँव               गांवों	
गाँव	गाँव
गाड़ी	गाड़ी
गुस्सा	गुस्साई
गुस्सा	गुस्साए
गौड़	गौड़
ग्यारहवाँ          ग्‍यारहवीं		
गढ़	गढ़
गढ़वाल	गढ़वाल
घिरे	घिरा
घुसपैठी          घुसपैठियों	
घेर	घेरा
घड़ी	घड़ी
चढ़	चढ़ा
चल	चलते
चल	चला
चल	चलो
चाह	चाहिए
चाह	चाहे
चुक	चुका
चुक                चुके		
चौंक	चौंका
चौड़े	चौड़ा
चढ़	चढ़
चढ़	चढ़कर
चढ़ा	चढ़ाई
चढ़ा                चढ़ाने	
चढ़ा                चढ़ाया		
छप	छपा
छाप               छापे		
छा	छाया
छिड़              छिड़ी	
छुड़ा              छुड़ाकर	
छेड़	छेड़
छेड़छाड़	छेड़छाड़
छेड़                छेड़ने	
छेड़                छेड़ा	
छोड़	छोड़
छोड़              छोड़कर		
छोड़              छोड़ने	
छोड़              छोड़ी	
छोड़	छोड़
छोड़              छोड़कर	
छोड़              छोड़ते	
छोड़              छोड़ना	
छोड़              छोड़ने	
छोड़              छोड़ा	
छोड़              छोड़ी	
छोड़              छोड़े	
छोड़              छोड़ेंगे		
जम	जमकर
जम	जमा
जमा	जमाना
जमावड़ा	जमावड़ा
जा                 जाएगा	
जा	जाओ
जाग	जागता
जा	जान
जानबूझकर	जानबूझकर
जा	जाना
जा                 जानी
जा	जाने
जिन	जिन	
जीत	जीता
जीत	जीते
जी	जीना
जुट	जुटा
जुड़                जुड़े	
जुड़	जुड़
जुड़                जुड़ने	
जुड़                जुड़ा	
जुड़                जुड़ी	
जुड़                जुड़े	
जे.	जे	
जो                 जैसा		
जैसा	जैसी
जैसा	जैसे
जो	जो	
जोड़              जोड़ा	
जोड़	जोड़
जोड़              जोड़कर	
जोड़              जोड़ने	
जोड़              जोड़ा	
जड़                जड़ें	
झाड़	झाड़
झुक	झुका
झड़प	झड़प
टाइम	टाइम्स
टूटा	टूटी
ठग	ठगी
